Judul,Harga,Penulis,Genre,Stock,Berat,Cetakan,Bulan,Tahun,Lebar,Panjang,Tebal,Format,ISBN,Sinopsis,Tentang_penulis,Foto Produk1,Foto Produk2
I SAW RAMALLAH,29500.0,Mourid Bargouti, Motivasi/Inspirasi,9,492," I, November 2021",November,2021,18.0,11.0,392,, 978-623-220-120-0,,,https://tokoalvabet.com/131-large_default/i-saw-ramallah.jpg,
IN THE NAME OH HONOR (Atas Nama Kehormatan),35000.0,Mukhtar Mai, Motivasi/Inspirasi,10,304," I, November 2021",November,2021,12.5,20.0,204,, 978-623-220-120-0,"ONAL BESTSELLER TELAH DITERJEMAHKAN KE DALAM 18 BAHASA DI 19 NEGARA
Untuk pertama kalinya, Mukhtar Mai menuangkan pengalaman pahitnya dalam buku yang sangat menyentuh hati. Sebuah kisah mengenai penderitaan dan kehinaan yang mendalam, juga keberanian dan keyakinan yang besar.
Pada 22 Juni 2002, Mukhtar Mai dijatuhi hukuman oleh Dewan Adat di desanya dengan cara diperkosa. Dia dipegangi oleh empat orang laki-laki, ditelanjangi dan kemudian diperkosa beramai-ramai. Lalu, ia diperintahkan untuk berjalan pulang dalam kondisi setengah telanjang di hadapan 300-an penduduk desa. Dengan cara dipertontonkan dan dipermalukan di depan umum, Mai harus melakukan itu demi ‘membayar’ suatu tindak kejahatan yang tanpa bukti, yang dituduhkan kepada adik laki-lakinya.
Adik laki-laki Mai, Abdul Syakur (12 tahun), dituduh memiliki affair dengan seorang gadis dari kasta yang lebih tinggi. Dewan Adat akhirnya menjatuhkan hukuman kepada Mukhtar Mai dengan cara diperkosa. Menjelang menit-menit pelaksanaan hukumannya, Mukhtar Mai meminta belas kasihan, memohon agar adiknya dibebaskan, dan membaca al-Quran—satu-satunya bacaan yang dihapalnya.
“Mukhtar Mai adalah seorang pahlawan. Dia telah mengalami pemerkosaan dan kebrutalan pengadilan. Atas kejadian itu dia meyakinkan kita akan pentingnya pendidikan—dan harapan."" —Nicholas Kristoff, The New York Times
""Melalui kisah ini, mudah-mudahan saya dapat membantu orang lain untuk memahami bahwa perubahan harus dilakukan.” —Mukhtar Mai",,https://tokoalvabet.com/132-large_default/in-the-name-of-honour.jpg,
Indonesia Bercerita,89000.0,"Yoana Dianika, Redy Kuswanto, Ruwi Meita, dkk.", Fiksi,20,632," I, Mei 2017",Mei,2017,13.0,20.0,532,, 978-602-6577-07-8,"Indonesia, dahulu disebut Nusantara, sangat kaya dengan ragam budaya dan etnis. Dari kekayaan itu, banyak sekali cerita dan legenda yang berkembang di masyarakat, disampaikan dari lisan ke lisan dan terawat hingga kini. Cerita-cerita tersebut sarat dengan pesan moral, etika, spiritualitas, dan kearifan lokal.
Di antara cerita-cerita itu ada yang sangat populer, misalnya cerita Malin Kundang, Jaka Tarub, Tangkuban Perahu, Danau Toba, Timun Emas, Bawang Merah Bawang Putih, dan lain-lain. Namun, masih banyak pula cerita-cerita menarik yang selama ini tak diketahui dan hampir terlupakan. Cerita-cerita itu hampir ada di seluruh daerah di Indonesia.
Inilah buku yang menguak cerita-cerita Nusantara yang selama ini tersembunyi dan belum banyak diketahui. Ditulis oleh para pencerita ulung yang berpengalaman dan malang-melintang di berbagai media cetak, juga dengan riset serius, terungkaplah cerita-cerita baru tentang kekayaan budaya dan kearifan Nusantara di berbagai daerah di Indonesia.","Indonesia Bercerita ditulis oleh sekumpulan penulis yang nama-namanya sudah sering menghiasi media cetak (baik lokal maupun nasional), media elektronik secara global, dunia pertelevisian sebagai penulis skenario. Nama-nama mereka juga tersebar di majalah-majalah nasional seperti Bobo, HAI, STORY, Femina, Kompas, dan lain-lain. Beberapa nama menempati rak-rak buku di Indonesia atas karya yang berupa novel solo, serta aktif menggawangi kegiatan kepenulisan, baik bertaraf lokal maupun nasional.


 ****

“Cerita-cerita rakyat Indonesia seperti ini sangat penting untuk terus  dibuat, dicetak dan dibaca untuk seluruh orang di Indonesia, terutama  generasi muda! Selamat untuk buku ‘Cerita-Cerita Nusantara’!”—Robert Ronny, Sutradara dan Produser


“Membaca cerita-cerita rakyat dalam buku ini, saya seperti semakin dibukakan bahwa Indonesia memiliki banyak sekali kekayaan. Pembaca diajak bertualang pada setiap jengkal Nusantara, bahkan sampai pada tempat-tempat yang terasa masih asing di telinga. Saya menemukan banyak cerita rakyat yang belum begitu familier. Sebuah usaha pelestarian budaya yang sangat patut diapresiasi. Dikisahkan dengan penulisan yang sederhana sehingga mudah dicerna segala usia, buku ini menyajikan kebijakan dalam lokalitas. Bacaan kaya untuk semua lapisan.”—Eva Sri Rahayu, Founder komunitas @TwiVers, penulis, dan blogger",https://tokoalvabet.com/488-large_default/indonesia-bercerita.jpg,https://tokoalvabet.com/66-large_default/indonesia-bercerita.jpg
Inside the Kingdom,39000.0,Carmen Bin Ladin, Memoar/Kisah Nyata,4,388," I, Mei 2017",Mei,2017,13.5,21.5,288,, 379-3064-34-x,"Begitu mendengar menara WTC diserang pada 11 September 2001, naluri Carmen bin Ladin berbisik: ipar laki-lakinya berada di balik peristiwa itu. Ia merasa, sejak itu hidupnya akan berbeda
Carmen, keturunan Swiss dan Persia, menikahi seorang Bin Laden pada 1974. Ia masih amat belia dan dimabuk cinta. Perempuan Eropa yang mandiri ini pun masuk ke sebuah klan yang amat ruwet dan suatu budaya yang tak pernah ia kenal. Di Arab Saudi ia dilarang meninggalkan rumah tanpa menutup tubuhnya dari kepala hingga ujung kaki.
Suaminya bisa menceraikannya kapan saja dan mengambil anak-anaknya dari sisinya untuk selama-lamanya. Hak-haknya dibatasi ketat. Ia bahkan tak boleh menyeberang jalan tanpa didampingi seorang wanita tua yang berfungsi sebagai pengawasnya. Kini ia memaparkan perjalanan hidupnya secara gamblang, mengungkapkan perjuangannya dan menyibak tabir yang menutup sebuah negara yang sangat kuat dan represif.
Carmen menggambarkan hubungan keluarga Bin Laden dan keluarga kerajaan Saudi, dan mengenalkan kita pada hubungan patriarkal keluarga Bin Laden yang amat loyal, termasuk Osama.",,https://tokoalvabet.com/350-large_default/inside-the-kingdom.jpg,
Inspirasi Sukses dari Sepak Bola,47500.0,Iwel Sastra, Pengembangan Diri,100,340," I, Januari 2016",Januari,2016,13.0,20.0,240,, 379-3064-34-x,"bukan sekadar permainan (game) atau olahraga (sport) yang telah menjadi industri dan digandrungi banyak orang di dunia. Sepakbola juga merupakan gambaran perjuangan manusia untuk meraih sukses (goal) sekaligus cara untuk mencapainya (passing dan control). Melalui buku ini, Iwel Sastra—seorang penulis, komedian, pelopor stand up comedy di Indonesia, dan motivator nomor wahid—menarasikan fenomena sepakbola dan mendedah pesan-pesan inspiratif-motivatif darinya.
Dengan gaya tutur naratif ringan yang padu antara serius, eksploratif, dan jenaka, yang sebagiannya berasal dari pengalaman dan pengamatan pribadi, Iwel menggali pesan-pesan dari fenomena sepakbola kemudian meramunya menjadi strategi-strategi jitu untuk meraih kesuksesan dalam hidup, karier, bisnis, dan lainnya. Inilah buku yang membeberkan rahasia-rahasia sukses dari sepakbola menjadi panduan yang pas untuk langkah sukses Anda.

***

“Buku yang segar, lucu… Nyentil dan nikmat.”

—Tung Desem Waringin, Penulis buku laris Financial Revolution dan Marketing Revolution

“Buku karya Iwel Sastra ini layak dibaca, terutama jika Anda penggemar sepakbola. Ditulis dengan gaya bahasa yang ringan, Anda akan mendapatkan banyak fakta penuh makna, serta bekal positif untuk menghadapi tantangan hidup dan meraih kesuksesan.”

—Andrie Wongso, Motivator No. 1 Indonesia",,https://tokoalvabet.com/524-large_default/inspirasi-sukses-dari-sepak-bola.jpg,https://tokoalvabet.com/133-large_default/inspirasi-sukses-dari-sepak-bola.jpg
Intisari Sirah Nabawiyah,79000.0,Ibnu Hazm al-Andalusi, Biografi/Sejarah,20,490," I, September 2018 ",September,2018,13.0,20.0,390,, 379-3064-34-x,"Nabi Muhammad adalah tokoh besar dalam sejarah umat manusia, figur teladan dan inspiratif tidak hanya bagi umat Islam tetapi juga bagi umat lainnya. Karakternya yang religius, jujur, bersahaja, ramah, cerdas, humanis, dan visioner membuat ia diakui, dikagumi, dipuja-puji bahkan ajarannya diikuti oleh begitu banyak orang di berbagai belahan dunia hingga hari ini. Berbagai catatan sejarah telah merekam dan mengabadikan dirinya hingga bisa dikenal dan dipelajari oleh setiap generasi lintas zaman, dari berbagai sisi dan disiplin ilmu.

Buku ini merupakan riwayat sejarah penting mengenai biografi dan perjalanan hidup Nabi Muhammad. Ditulis oleh ulama besar abad ke-5 H, Ibnu Hazm, buku ini menghadirkan kisah-kisah, momen-momen, dan catatan-catatan penting dalam kehidupan Rasulullah sejak lahir hingga wafat. Bahasanya sederhana, ringkas, dan lugas tetapi padat berisi. Diolah dari berbagai sumber rujukan otoritatif, yakni kitab-kitab sejarah sebelumnya dan riwayat-riwayat shahih para ahli hadis, dilengkapi dengan ilustrasi gambar dan peta, buku ini menjadi referensi utama ihwal riwayat kehidupan sang Nabi dan Islam awal, yang tak mungkin diabaikan begitu saja.

***


“Ibnu Hazm dikenal sebagai orang cerdas, kuat hafalan, dan luas perbendaharaan ilmunya.”

—Imam adz-Dzahabi, penulis kitab Siyar A’lâm an-Nubalâ’ dan as-Sîrah an-Nabawiyah


 
“Saya tidak pernah melihat sosok seperti Ibnu Hazm yang punya kecerdasan, kekuatan hafalan, kemuliaan, dan keteguhan dalam menjalankan agama.”

—Al-Hafizh Abu Abdillah Muhammad bin Futuh al-Humaidi (w. 488 H), guru para ahli hadis Andalusia dan murid Ibnu Hazm  


 
“Para tokoh Andalusia sepakat bahwa Ibnu Hazm seorang ulama yang menguasai ilmu-ilmu keislaman, berpengetahuan luas dalam ilmu logika, dan memiliki sumbangsih besar di bidang ilmu pengetahuan.”

—Abu al-Qasim Sha’id bin Ahmad, penulis kitab Thabaqât al-Umam 


“Ibnu Hazm menguasai banyak disiplin ilmu. Ia juga sosok yang wara’, zuhud, sangat cerdas, dan kuat hafalannya. Ulama-ulama Andalusia pada masanya mengakui kepakarannya dalam ilmu-ilmu keislaman, bahasa, sastra, puisi, dan sirah Nabi.”

—Jalaluddin as-Suyuthi, penulis kitab Thabaqât al-Huffâzh



 
Penulis


Ibnu Hazm al-Andalusi. Lengkapnya, Ali bin Ahmad bin Sa’id bin Hazm. Lahir di Cordoba (Qurthub), Andalusia, tahun 384 H (994 M). Ia dikenal dengan hafalannya yang kuat, juga pikirannya yang cerdas dan tajam. Ia juga dikenal ikhlas dalam bekerja, baik budi pekertinya, dan penuh kasih sayang. Sejak kecil, ia belajar hadis pada gurunya, Ahmad bin Muhammad al-Jasur (w. 401) dan al-Hamdani. Setelah dewasa, ia diasuh dan dididik oleh Abu al-Husain al-Fasi, seorang yang terkenal saleh dan zuhud. Secara keilmuan, ia ahli dalam bidang tafsir alQuran, hadis, rijal (perawi hadis), fikih dan ushul fikih, filsafat, sastra, dan sejarah.

Ibnu Hazm sangat produkif menulis kitab dan esai (risalah pendek). Menurut pengakuan putranya, Abu Rafi’ al-Fadli bin Ali, sepanjang hidupnya Ibnu Hazm telah menulis lebih kurang 400 judul kitab yang meliputi lebih kurang 80.000 halaman. Buku-buku tersebut menyangkut berbagai disiplin ilmu. Namun, tidak semua bukunya dapat ditemukan karena banyak yang dibakar dan dimusnahkan oleh orang-orang yang tidak sepaham dengan pemikiran Ibnu Hazm.

Beberapa karya penting dan terkenal Ibnu Hazm di antaranya: al-Fishal fî al-milal wa al-ahwâ’ wa an-nihal, al-muhallâ (11 juz), Jamharah al-ansâb, an-nâsikh wa almansûkh, hajjah al-wadâ’, at-Taqrîb li hadd al-mantiq wa al-madkhal ilaih, mulkhis ibthâl al-Qiyâs, Fadhâ’il alandalus, Ummahât al-Khulafâ’, rasâ’il ibn hazm, al-ihkâm li Ushûl al-ahkâm, al-mufâdhalah baina ash-shahâbah, mudâwah an-nufûs, Thauq al-hamâmah, dan Jawâmi’ as-sîrah an-nabawiyah (edisi terjemahan dalam bahasa Indonesia diterbitkan oleh Pustaka Alvabet dengan judul Intisari Sirah Nabawiyah).


Ibnu Hazm wafat di Manta Lisham pada tanggal 28 Sya’ban 456 H bertepatan dengan tanggal 15 Agustus 1064 M. Wafatnya Ibnu Hazm cukup membuat masyarakat kala itu merasa kehilangan dan terharu. Bahkan, Khalifah Manshur al-Muwahidi, khalifah ketiga dari Bani Muwahid, termenung menatap kepergian Ibnu Hazm, seraya berucap, “Kita semua adalah keluarga Ibnu Hazm.”",,https://tokoalvabet.com/470-large_default/intisari-sirah-nabawiyah.jpg,https://tokoalvabet.com/28-large_default/intisari-sirah-nabawiyah.jpg
Introver,68000.0,M.F. Hazim, Novel,20,376," Juli, 2022",,2022,13.0,20.0,276,, 978-602-6577-00-9,"Pandangan umum menilai bahwa kesuksesan sangat lekat dengan orang berkepribadian ekstrovert: ceria, suka sosialisasi, banyak teman, dan berbagai sifat supel lainnya. Sedangkan orang berkepribadian introver—tertutup, pemalu, pemurung, pendiam, suka menyendiri—dianggap sulit menjadi orang sukses. Bahkan tak jarang, kaum introver dicap sebagai orang aneh, terkucilkan, eksklusif, dan anggapan negatif lainnya.


Tetapi, tahukah Anda bahwa banyak tokoh dunia adalah orang-orang berkepribadian introver? Di deretan pemimpin politik, ada Abraham Lincoln, Mahatma Gandhi, dan Barack Obama. Ada pula Bill Gates dan Warren Buffett di kalangan pengusaha. Begitu pula Albert Einstein dan Charles Darwin, mewakili kaum ilmuwan. Sementara di antara artis, selebritis, dan penulis, ada Christina Aguilera, Mark Zuckerberg, dan J.K. Rowling. Mereka adalah orang hebat dengan kepribadian introver. Lalu, seperti apa sejatinya kehidupan kaum introver?


Novel ini bercerita ihwal dunia kaum introver. Membacanya, kita diajak menyelami alam pikiran dan kejiwaan seorang introver yang senantiasa gelisah, resah, dan gundah; juga konflik batin yang menyiksanya, dan bagaimana ia menemukan “teman” untuk mengisi kesendiriannya dan membuat kehidupannya menjadi bermakna. Tak hanya itu, dalam novel ini, Sang Introver seolah curhat bernada menggugat atas dunia kaum ekstrovert yang dianggap sia-sia, membuang waktu, tak bermutu, dan tidak efektif.","M.F. Hazim lahir di Sidoarjo, Jawa Timur pada 2 Mei 1993. Ia adalah seorang penulis, ilustrator, editor lepas, dan entrepreneur. Karya-karyanya berupa 6 buku kumpulan cerpen, 8 buku antologi puisi, 1 buku mewarnai, dan 8 buku esai, serta 1 buku bergenre inspirasi berjudul 101 Alasan untuk Bahagia yang diterbitkan oleh BIP Gramedia.


Penulis menaruh minat yang besar pada bidang melukis, dan berharap suatu hari bisa menjadi pelukis profesional. Kecintaannya pada lukisan, selain muncul dari kehausan akan keindahan, juga karena ditumbuhkan oleh pamannya yang merupakan pelukis kawakan.


Ia sangat menyukai karya-karya para penyair yang disebut poète maudit. Karya-karya puisinya sangat dipengaruhi oleh Edgar Allan Poe, sehingga pada tiap baitnya begitu kental dan terasa aura keindahan dan kejelitaan yang murni yang bercampur dengan penderitaan yang gelap dan dalam.",https://tokoalvabet.com/744-large_default/introver-sebuah-novel-penggugah-jiwa.jpg,
Irsyadul Ibad,75000.0,Syaikh Abdul Aziz bin Muhammad bin Salman, Motivasi Islam,40,432," I, November 2020",November,2020,13.0,20.0,332,, 978-623-7163-42-8,"Dunia adalah panggung orang mukmin untuk beramal saleh sebagai bekal dan investasi di akhirat. Ketika mati, tak ada yang akan menyertai. Harta yang dibanggakan, keluarga yang dicintai, kawan-kawan nongkrong, tetangga di sekitar, semuanya akan ditinggalkan dan tak ikut menemani. Kematian memutus semua hal duniawi tanpa bisa dielakkan. Hanya amal sewaktu hidup yang akan menjadi satu-satunya teman yang dapat diandalkan.







Buku ini menjadi petunjuk penting dan berharga sekaligus pengingat tentang apa saja yang perlu kita persiapkan sebagai bekal akhirat. Didasarkan pada dalil-dalil al-Quran, hadis-hadis Nabi yang sahih, dan nasihat-nasihat bijak ulama saleh klasik, buku ini memberi kita pijakan yang pasti dan arah yang jelas bagaimana kita menjalani kehidupan dunia hingga selamat sampai akhirat.","SYAIKH ABDUL AZIZ BIN MUHAMMAD BIN SALMAN. Ulama ahli teologi, tafsir, hadis, dan fikih yang wara dan zuhud, berpaham Ahli Sunnah wal Jamaah. Lahir tahun 1919 dan wafat tahun 2001.",https://tokoalvabet.com/596-large_default/irsyadul-ibad.jpg,https://tokoalvabet.com/324-large_default/irsyadul-ibad.jpg
Istanbul,110000.0,Syaikh Abdul Aziz bin Muhammad bin Salman, Motivasi Islam,29,432," I, November 2020",November,2020,13.0,20.0,332,, 978-623-7163-42-8,"Dikelilingi “karangan bunga air” di selat sempit Bosporus yang membelah Eropa dan Asia, Istanbul—sebelumnya dikenal dengan nama Konstantinopel—menjadi tempat tiada tara bagi pertukaran budaya, sejak awal masanya sebagai koloni Yunani Byzantium. Lebih dari dua puluh enam abad keberadaannya, kota ini selamat dari rangkaian bencana alam, malapetaka politik, penaklukan asing, dan gejolak dinasti. Kota ini mampu pula bertahan dari perubahan fantastis dalam agama, bahasa, status politik, dan nama. Dalam rentetan serangan gencar sang waktu, ruh dan karakter lokal yang menakjubkan tetap hidup: satu-satunya kota yang terletak di dua benua ini mampu mempertahankan daya tariknya yang eksotik serta atmosfer dan identitasnya yang unik.
Selama lebih dari 2.000 tahun, para pelancong telah datang dan terpesona akan keajaiban, misteri, dan keagungan kota ini. Kini, untuk dapat merasakan indahnya Istanbul, Anda tak harus datang kesana, sebab buku ini menceritakan semuanya. Inilah kisah luar biasa tentang kota paling memesona di dunia, ibu kota tiga kekaisaran masyhur: Byzantium, Romawi, Usmani. Istanbul adalah kisah menakjubkan tentang kota legendaris ini, dan suasana kehidupan sehari-hari masyarakatnya, seremoni istana, hingga intrik politik para penguasa dari awal hingga sekarang.","JOHN FREELY adalah penulis buku-bukuperjalanan dan sejarah tentang Istanbul,Athena, Venesia, Turki, Yunani, dan Kekaisaran Ottoman. Ayah dari penulisMaureen Freely ini telah menulis lebih dari 40 judul buku.
Pria yang lahir pada 1926 di New York ini menghabiskan separuh masa kecilnya di Irlandia. Kala berusia 17 tahun, ia putus sekolah tinggi untuk bergabung dengan Angkatan Laut Amerika Serikat, termasuk tugas tempur dengan unit komando di Pasifik, India, Burma dan China pada tahun terakhir Perang Dunia II Usai perang, ia kuliah di G.I. Bill hingga meraih gelar Ph.D. bidang fisika dari New York University.
Freely bekerja sebagai fisikawan peneliti selama Sembilan tahun. Pada 1960, ia pergi ke Istanbul untuk mengajar fisika di Bogazici University—sebelumnya bernama Robert College dan Bosphorus University—dan menetap di sana sampai 1976. Setelah hijrah dari kota ke kota untuk mengajar dan menulis di Athena, Boston, London, dan Venesia, pada 1993 Freely kembali ke Bogazici University, tempat ia mengajar sejarah ilmu pengetahuan.",https://tokoalvabet.com/91-large_default/istanbul-ibu-kota-tiga-imperium-besar-dunia-hard-cover.jpg,
Istriku Teroris,45000.0,Yasmina Khadra, Novel,9,408," I, November 2011",November,2011,14.0,21.0,308,, 978-623-7163-42-8,"Jaafari adalah ahli bedah di sebuah rumah sakit di Tel Aviv. Berdedikasi, dihormati, dan dikagumi oleh kolega dan masyarakat, ia merupakan contoh sukses warga Arab yang mengintegrasikan diri ke dalam masyarakat Israel. Dan ia paham benar bagaimana hidup berdampingan dengan kekerasan dan chaos yang menghantui kotanya.
Tatkala terjadi serangan bom bunuh diri di sebuah restoran setempat, Dr. Jaafari bekerja tak kenal lelah membantu para korban. Namun, malam itu justru membawa masalah besar bagi sang dokter. Tubuh istrinya, tercerai-berai mengenaskan, ditemukan di antara para korban yang tewas. Berdasarkan pemeriksaan polisi, kondisi tubuh istrinya merupakan tipikal pelaku bom bunuh diri. Setengah tak percaya, batin Dr. Jaafari tercabik-cabik di antara kenangan indah bersama istrinya dan kenyataan betapa perempuan cantik, cerdas, dan modern itu rupanya memiliki kehidupan lain yang jauh dari kehidupan bergelimang kesenangan yang mereka lakoni.
Dengan deskripsi yang gamblang tentang bom bunuh diri, novel ini menggambarkan secara memukau realitas terorisme berikut akibat spiritual yang tak terhitung nilainya. Intens dan manusiawi, terhindar dari bias politik dan kebencian, serta bijaksana dan menyentuh, novel ini menyuguhkan pemahaman mendalam tentang sesuatu yang tampak mustahil untuk dipahami, yaitu terorisme.
“Karya ini memiliki preferensi thriller kelas tinggi. Inilah novel dari seorang pendongeng yang sangat terampil.”
—Times Literary Supplement
“Bagai thriller psikologis tentang terorisme. Sebuah cerita detektif tanpa sang detektif. Novel ini menggambarkan tragedi individu yang terperangkap dalam lingkaran kekerasan tanpa makna dan tak berujung.”
—Lindy Burleigh, Telegraph",,https://tokoalvabet.com/134-large_default/istriku-teroris.jpg,
Jadilah Diri Sendiri,45000.0,Ahmad Dzikran, Pengembangan Diri,39,300," I, Juli 2018",Juli,2018,13.0,20.0,200,, 978-602-61173-5-9,"Setiap individu memiliki jati diri istimewa, dengan karakter unik, sarat potensi, dan penuh bakat luar biasa untuk berkembang menjadi pribadi terbaik, bahkan melebihi yang ia bayangkan. Namun, banyak orang enggan menjadi diri sendiri. Mereka lebih senang menjadi orang lain, dengan meng-copy paste, mengimitasi, meniru, bahkan dengan sadar menjadi kloning diri orang lain. Walhasil, mereka kehilangan diri sendiri: karakternya, keunikannya, potensi terbaiknya, bahkan masa depannya. Mereka tercerabut dari “jati diri”, menyisakan kekosongan, kehampaan, dan “kematian”.

Buku ini memandu kita untuk mengenali dan menguasai diri sendiri. Dengan mengenali dan menguasai diri sendiri, kita akan menyadari karakter unik, potensi terbaik, dan bakat luar biasa yang kita miliki, dan selanjutnya kita bisa leluasa dan bergairah mengembangkannya. Dengan begitu, kita akan lebih berani menjadi diri sendiri, dan siap menatap hari ini dan masa depan secara menyenangkan dengan sangat optimis dan percaya diri.

Dipadu dengan konsep, teori, dan kiat jitu, serta diperkaya dengan cerita dan ungkapan bijak dari tokoh-tokoh hebat, buku ini dengan penuh inspiratif menuntun pikiran dan langkah kita untuk menjadi diri sendiri. Inilah buku yang akan mengubah diri kita menjadi lebih baik.",,https://tokoalvabet.com/499-large_default/jadilah-diri-sendiri.jpg,https://tokoalvabet.com/85-large_default/jadilah-diri-sendiri.jpg
Jalan Damai Rasulullah,69000.0,Fuad Abdurahman, Biografi,30,428," I, Desember 2019",Desember,2019,13.0,20.0,328,, 978-623-220-070-8,"Sedari kecil, Rasulullah hidup di lingkungan masyarakat yang umumnya berwatak keras dan gemar berperang. Apalagi, kala itu ada dua imperium besar, Persia dan Romawi, yang terus berperang memperebutkan pengaruh dan wilayah. Dalam banyak kesempatan, beliau menyaksikan api peperangan yang tak henti berkobar di masyarakat, sebelum kemudian semua sepakat untuk berdamai, yang dikenal dengan Hilf al-Fudhul. Inilah kesepakatan yang begitu membekas di benak beliau semasa muda dan kemudian turut mewarnai hidupnya.

Buku ini melukiskan pribadi Rasulullah sebagai sosok yang cinta dan damai. Selain menguraikan risalah cinta dan damai dari al-Quran dan Hadis, penulis juga memaparkan cara Nabi menerapkan dan mempraktikkan ajaran cinta-damai dalam kehidupan sehari-hari, baik di lingkungan keluarga, para sahabat, interaksi dengan anak-anak, di tengah masyarakat, bahkan terhadap para musuhnya dalam peperangan.

Disertai kisah-kisah sarat teladan tentang Rasulullah yang jarang diungkap dalam khazanah klasik serta cerita-cerita inspiratif tentang ulama-ulama saleh yang tergugah hatinya berkat karakter cinta-damai Nabi, narasi dalam buku ini begitu memikat. Melalui buku ini, penulis seolah mengingatkan dan mengajak kita untuk selalu meneladani keagungan sang Rasul, juga melanjutkan misi dan fungsi beliau sebagai rahmat bagi semesta—penebar cinta dan perdamaian.

***

“Buku ini membawa pembacanya menyelami relung kepribadian Rasulullah Saw. yang dikemas dalam narasi sastrawi dengan banyak kisah praktis dan konkret. Sangat cocok untuk kaum milenial”—DR. Ajid Thohir, M.A., Sejarawan Muslim UIN SGD Bandung dan penulis buku Sirah Nabawiyah: Muhammad Saw. dalam Kajian Ilmu Sosial Humaniora

""Buku yang ditulis oleh saudara Fuad Abdurahman adalah fakta sejarah bahwa Rasulullah Saw. itu teladan dalam membangun masyarakat yang unggul, bahagia, sejahtera dan berakhlak mulia.""—Prof. DR. H. Miftah Faridl, Ketua Dewan Pertimbangan Majelis Ulama Indonesia (MUI) Jawa Barat","Fuad Abdurahman,lahir pada 24 Mei di Cianjur, Jawa Barat. Jenjang pendidikan yang pernah ditempuhnya, yaitu: MI Islamiyyah Sayang Cianjur, MTs. Manarulhuda Karangtengah Cianjur, PGAN Cianjur, dan IAIN (sekarang UIN) SGD Bandung. Sempat beberapa tahun nyantri di Ponpes Baitul Arqom Ciparay Bandung dan Ponpes Nailul Kiram, Cinunuk Bandung.

Penulis―yang juga kaligrafer ini―pernah mengabdi di beberapa sekolah dan bekerja di Maktabah dan Tidzkar Gallerydi Al-Zulfi, Riyadh KSA, dari 2004–2007. Kini, ia menjadi penulis, kaligrafer, dan tour leader umrah. Pada waktu-waktu tertentu, ia juga menerima pesanan lukisan kaligrafi dan dekorasi kaligrafi di masjid-masjid.

Pada 2011, penulis meraih Islamic Book Award lewat bukunya Senyumlah Bunda, sebagai buku Islam Terbaik kategori Fiksi Anak, serta 2017 meraih Islamic Book Award lewat bukunya Keluarga yang Diberkahi sebagai buku Islam Terbaik kategori Non Fiksi Anak. Sudah lebih dari 30 judul buku yang ia tulis.

Kini, penulis tinggal bersama istri tercinta, Siti Noor Aisah,dan kedua putranya, Faiz Zainulfikri Sulthoni dan Muhammad Farhan Rasyidi,di East Garden Residence (Kompleks Perumahan Taman Cileunyi), Blok J-2, RT. 01/22, Desa Cileunyi Kulon, Cileunyi, Bandung 40261.

Penulis bisa dihubungi melalui surel: nurfsmile24@gmail.com, Facebook: Fuad Abdurahman, IG: @kang_fuad24, dan WA 0895601757802.",https://tokoalvabet.com/515-large_default/jalan-damai-rasulullah.jpg,https://tokoalvabet.com/120-large_default/jalan-damai-rasulullah.jpg
Jalan Menuju Sukses,75000.0,Orison Swett Marden, Pengembangan Diri,50,460," I, Oktober 2020",Oktober,2020,13.0,20.0,360,, 978-623-7162-63-6,"Dalam buku ini, Orison Swett Marden menjelaskan jalan menuju sukses dengan cara sederhana untuk kepentingan siapa saja, yang ingin mengikuti jejaknya. Setiap bab dari buku ini dimulai dengan kutipan yang memotivasi dari berbagai orang terkenal yang relevan dengan topik bahasan. Lebih dari 100 tahun setelah pertama dipublikasi, pelajaran dari buku ini masih sangat relevan hingga hari ini.

Buku ini memberikan nasihat yang keras dan jujur tentang cara untuk berhasil, dimulai dengan ""Pertama, Menjadi Manusia"": yaitu, tegakkan tanggung jawab Anda dan jangan berharap untuk berhasil tanpa kerja keras dan tekad. Ikuti saran dan contoh dalam buku ini dan Anda akan berhasil dalam apa pun yang Anda pilih untuk dilakukan.",,https://tokoalvabet.com/574-large_default/jalan-menuju-sukses.jpg,https://tokoalvabet.com/220-large_default/jalan-menuju-sukses.jpg
